alpha,n_chargers,travel_time,objective
1.0,205,17700643.23910004,17700848.2390998
1.5,270,17701001.42320005,17701406.42319982
2.25,105,17699782.28800002,17700018.53799982
2.8125,107,17699782.68810002,17700083.62559988
3.375,108,17699784.375500023,17700148.87549988
5.0625,108,17699808.20180002,17700354.9517999
7.59375,110,17699808.40870002,17700643.721199892
11.390625,111,17699813.03970002,17701077.399074875
17.0859375,113,17699841.958700024,17701772.669637334
19.2216796875,113,17699831.308500025,17702003.358304527
20.28955078125,113,17699831.308500025,17702124.02773812
20.823486328125,109,17699834.074800026,17702103.834809612
21.357421875,109,17699838.537000027,17702166.495984223
25.62890625,109,17699838.537000027,17702632.087781098
28.83251953125,109,17699843.466900025,17702986.21152877
29.6334228515625,106,17699828.675200023,17702969.81802213
30.434326171875,106,17699828.675200023,17703054.71377408
32.0361328125,106,17699828.675200023,17703224.505277988
35.23974609375,107,17699837.377700023,17703608.030531883
36.0406494140625,107,17699837.377700023,17703693.727187157
36.841552734375,50,17700278.651500035,17702120.72913657
38.443359375,50,17700278.651500035,17702200.819468617
40.8460693359375,50,17700297.242050033,17702339.545516662
41.446746826171875,45,17700342.661800038,17702207.765407044
42.04742431640625,45,17700342.661800038,17702234.795894105
43.248779296875,45,17700342.661800038,17702288.856868226
48.05419921875,45,17700342.661800038,17702505.100764748
57.6650390625,44,17700399.79550004,17702937.05721865
61.26910400390625,42,17700517.30720004,17703090.609568074
64.8731689453125,41,17700579.20730004,17703239.007226706
66.67520141601562,40,17700644.879000045,17703311.88705659
68.47723388671875,38,17700780.67290003,17703382.807787646
72.081298828125,37,17700852.02110003,17703519.02915659
86.49755859375,36,17701039.947400022,17704153.859509327
97.30975341796875,35,17701135.43730003,17704541.27866958
102.71585083007812,33,17701336.369200062,17704725.992277343
104.06737518310547,33,17701336.369200062,17704770.592580993
104.74313735961914,31,17701544.91870007,17704791.9559581
105.41889953613281,30,17701649.766900066,17704812.333886035
108.1219482421875,30,17701649.766900066,17704893.425347216
129.746337890625,28,17701715.104100067,17705348.00156089
168.6702392578125,26,17702205.137200058,17706590.563420683
193.97077514648439,27,17702457.31100005,17707694.521928933
195.55205863952636,27,17702457.31100005,17707737.21658325
196.34270038604737,24,17702563.742400043,17707275.967209242
197.13334213256837,24,17702563.742400043,17707294.94261116
200.29590911865233,24,17702657.986100044,17707465.087918825
201.08655086517334,21,17702879.51160005,17707102.32916815
201.87719261169434,21,17702879.51160005,17707118.93264482
203.45847610473632,21,17702879.51160005,17707152.139598176
206.6210430908203,21,17702879.51160005,17707218.553504884
219.27131103515626,21,17702879.51160005,17707484.209131718
252.1620076904297,20,17703109.77890008,17708153.019053787
285.05270434570315,18,17703627.119500075,17708758.0681782
370.5685156494141,17,17703972.38840006,17710272.053166017
481.73907034423837,16,17705003.97985007,17712711.804975484
499.8042854821473,16,17705003.97985007,17713000.848417692
508.83689305110175,16,17705003.97985007,17713145.370138794
513.353196835579,16,17705005.89275007,17713219.543899346
514.4822727816983,16,17705006.849150095,17713238.565514486
515.0468107547579,16,17705007.503350094,17713248.252322055
515.6113487278176,19,17704187.71980009,17713984.33542581
517.8695006200562,19,17704187.71980009,17714027.240311757
553.9999308958741,19,17704187.71980009,17714713.718487002
572.065146033783,18,17704744.112600055,17715041.285228588
573.1942219799023,18,17704744.112600055,17715061.608595617
573.7587599529619,18,17704744.112600055,17715071.77027913
574.3232979260215,13,17705865.338500053,17713331.541373014
576.5814498182601,13,17705865.338500053,17713360.897347614
581.0977536027374,13,17705865.338500053,17713419.609296814
590.1303611716919,13,17705865.338500053,17713537.03319521
626.2607914475099,13,17705865.338500053,17714006.728788793
814.1390288817629,11,17708342.11305007,17717297.642367676
1058.3807375462918,9,17710312.278750055,17719837.705387894
1217.1378481782356,7,17710858.564600054,17719378.529537223
1375.8949588101793,6,17712198.853300054,17720454.223052837
1788.6634464532333,6,17712198.853300054,17722930.833978698
2056.9629634212183,4,17716066.428100113,17724294.279953662
2325.2624803892036,2,17720384.526300173,17725035.051260754
3022.841224505965,1,17723141.070000205,17726163.911224484
3929.6935918577547,0,17726274.800900195,17726274.80089998
